Customer_ID,Age,Gender,City,Occupation,Annual_Income,Purchase_Frequency,Total_Spending
CUST1001,56,Male,Bengaluru,Teacher,52981,5,10870
CUST1002,46,Male,Pune,Student,89298,4,19976
CUST1003,32,Male,Pune,Other,66167,14,42644
CUST1004,60,Male,Delhi,Teacher,95304,11,11682
CUST1005,25,Male,Hyderabad,Engineer,63408,13,52806
CUST1006,38,Female,Bengaluru,Business,59499,12,35868
CUST1007,56,Male,Mumbai,Doctor,145816,3,3816
CUST1008,36,Male,Chennai,Student,72269,8,20296
CUST1009,40,Male,Bengaluru,Doctor,58559,10,39230
CUST1010,28,Female,Bengaluru,Engineer,134126,4,12268
CUST1011,28,Female,Delhi,Doctor,94319,14,29022
CUST1012,41,Male,Hyderabad,Student,131925,2,8388
CUST1013,53,Female,Chennai,Engineer,115317,2,7582
CUST1014,57,Male,Pune,Doctor,116347,1,1746
CUST1015,41,Male,Pune,Business,68787,13,54847
CUST1016,20,Female,Mumbai,Other,55488,4,17356
CUST1017,39,Male,Chennai,Engineer,94441,10,8590
CUST1018,19,Female,Pune,Other,94663,9,25884
CUST1019,41,Female,Mumbai,Engineer,42431,14,49126
CUST1020,61,Male,Hyderabad,Business,81681,11,38423
CUST1021,47,Male,Mumbai,Other,83483,7,10234
CUST1022,55,Female,Pune,Teacher,142720,12,49584
CUST1023,19,Male,Delhi,Student,69153,10,23270
CUST1024,38,Male,Delhi,Teacher,26368,7,14791
CUST1025,50,Male,Delhi,Doctor,47424,13,27820
CUST1026,29,Female,Pune,Business,132360,7,19012
CUST1027,39,Female,Delhi,Teacher,65004,8,38496
CUST1028,61,Male,Chennai,Engineer,103869,1,877
CUST1029,42,Female,Hyderabad,Doctor,108652,10,47140
CUST1030,44,Female,Mumbai,Doctor,132755,13,62205
CUST1031,59,Female,Mumbai,Teacher,76985,10,8690
CUST1032,45,Female,Pune,Teacher,70069,8,21568
CUST1033,33,Female,Delhi,Business,72326,4,16988
CUST1034,32,Male,Delhi,Student,128737,4,4604
CUST1035,64,Male,Bengaluru,Teacher,101061,4,5076
CUST1036,61,Male,Hyderabad,Teacher,43398,6,17526
CUST1037,20,Female,Chennai,Other,118393,7,8960
CUST1038,54,Female,Mumbai,Engineer,70861,6,13296
CUST1039,24,Male,Bengaluru,Other,95897,1,4483
CUST1040,38,Female,Bengaluru,Other,101905,12,21732
CUST1041,26,Male,Pune,Doctor,147118,8,30872
CUST1042,56,Male,Mumbai,Student,88577,13,13286
CUST1043,35,Male,Pune,Engineer,85641,10,10210
CUST1044,21,Female,Chennai,Business,29078,11,31020
CUST1045,42,Female,Bengaluru,Business,45003,13,18655
CUST1046,31,Male,Bengaluru,Teacher,82768,7,19110
CUST1047,26,Male,Hyderabad,Teacher,71047,6,27240
CUST1048,43,Male,Chennai,Business,91626,6,25182
CUST1049,19,Male,Bengaluru,Teacher,77660,5,16685
CUST1050,37,Female,Chennai,Student,124386,6,27498
CUST1051,45,Female,Mumbai,Other,69786,12,35532
CUST1052,64,Male,Delhi,Teacher,21925,9,33687
CUST1053,24,Male,Bengaluru,Doctor,103976,10,38590
CUST1054,61,Female,Hyderabad,Teacher,125221,9,10665
CUST1055,25,Female,Mumbai,Engineer,137832,10,26600
CUST1056,64,Male,Chennai,Student,145150,8,35904
CUST1057,52,Male,Pune,Engineer,46015,10,45660
CUST1058,31,Male,Mumbai,Engineer,53320,9,18603
CUST1059,34,Female,Bengaluru,Doctor,84881,13,6994
CUST1060,53,Female,Chennai,Student,110827,10,30440
CUST1061,57,Female,Delhi,Student,140071,8,14048
CUST1062,21,Male,Mumbai,Student,122215,8,27920
CUST1063,19,Male,Bengaluru,Student,46289,1,2696
CUST1064,23,Female,Hyderabad,Student,148859,10,39680
CUST1065,59,Female,Pune,Doctor,23389,11,35288
CUST1066,21,Male,Chennai,Teacher,45683,5,4005
CUST1067,46,Female,Mumbai,Engineer,33629,4,4584
CUST1068,35,Female,Mumbai,Student,81550,2,4518
CUST1069,43,Male,Delhi,Teacher,44826,8,38808
CUST1070,61,Female,Delhi,Teacher,120734,3,3291
CUST1071,51,Male,Hyderabad,Engineer,46630,4,4644
CUST1072,27,Male,Pune,Doctor,118762,12,57960
CUST1073,53,Male,Hyderabad,Business,66163,7,13076
CUST1074,31,Male,Bengaluru,Business,118511,10,30810
CUST1075,48,Male,Bengaluru,Teacher,86435,9,39312
CUST1076,32,Male,Hyderabad,Other,31653,2,8074
CUST1077,25,Male,Pune,Other,47961,3,14424
CUST1078,31,Female,Hyderabad,Engineer,101941,4,3128
CUST1079,40,Male,Pune,Business,94137,10,41780
CUST1080,57,Male,Pune,Teacher,53662,1,1986
CUST1081,38,Female,Chennai,Doctor,118818,7,32074
CUST1082,33,Female,Pune,Business,76446,2,9366
CUST1083,62,Female,Delhi,Teacher,41288,5,4800
CUST1084,35,Male,Pune,Teacher,142555,1,2825
CUST1085,64,Female,Pune,Student,115081,3,12762
CUST1086,41,Male,Pune,Doctor,56877,12,35616
CUST1087,43,Male,Bengaluru,Student,131562,2,4448
CUST1088,42,Male,Delhi,Engineer,35313,1,1876
CUST1089,62,Male,Delhi,Student,100885,7,22701
CUST1090,58,Female,Hyderabad,Student,92715,5,5070
CUST1091,46,Female,Chennai,Business,30326,1,1202
CUST1092,32,Male,Pune,Other,130091,6,12918
CUST1093,62,Male,Mumbai,Teacher,145836,5,12830
